"","b1_conf","b1_rt","id","max_div","max_tree"
"153",0.858955,-8.10309e-05,"sub-1001",0,0
"154",0.853273,-0.00721692,"sub-1001",0,0
"155",0.937906,-0.0205289,"sub-1001",0,0
"156",1.13871,-0.0107054,"sub-1001",0,0
"157",0.792036,-0.0168722,"sub-1001",0,0
"158",0.969566,-0.0126628,"sub-1001",0,0
"159",0.694819,-0.0341258,"sub-1001",0,0
"160",0.877409,-0.00800406,"sub-1001",0,0
"161",1.18561,-0.0149272,"sub-1001",0,0
"162",1.1313,-0.0207643,"sub-1001",0,0
"163",1.29388,-0.0815691,"sub-1001",0,0
"164",1.44025,-0.00284805,"sub-1001",0,0
"165",1.34051,-0.0348893,"sub-1001",0,0
"166",1.42428,-0.0202589,"sub-1001",0,0
"167",1.39399,-0.0329098,"sub-1001",0,0
"168",1.24226,-0.0347067,"sub-1001",0,0
"169",1.09691,0.00278213,"sub-1001",0,0
"170",0.492563,-0.0135485,"sub-1001",0,0
"171",1.30354,-0.011894,"sub-1001",0,0
"172",1.45021,-0.0311815,"sub-1001",0,0
"173",1.07657,-0.00423295,"sub-1001",0,0
"174",0.401578,-0.0101237,"sub-1001",0,0
"175",1.90097,-0.000832742,"sub-1001",0,0
"176",1.4126,-0.0164047,"sub-1001",0,0
"177",0.660353,-0.00272902,"sub-1001",0,0
"178",1.48879,-0.0209371,"sub-1001",0,0
"179",1.10224,-0.0073038,"sub-1001",0,0
"180",0.496978,-0.0121064,"sub-1001",0,0
"181",0.498211,-0.0115372,"sub-1001",0,0
"182",0.5697,-0.00954768,"sub-1001",0,0
"183",1.01989,-0.00881174,"sub-1001",0,0
"184",0.471367,-0.0115327,"sub-1001",0,0
"185",0.610538,0.00227005,"sub-1001",0,0
"186",0.954996,-0.00658603,"sub-1001",0,0
"187",0.890944,-0.0130463,"sub-1001",0,0
"188",0.613529,-0.0200465,"sub-1001",0,0
"189",1.76708,-0.0151579,"sub-1001",0,0
"190",1.39679,-0.0193976,"sub-1001",0,0
"191",1.46056,-0.0286425,"sub-1001",0,0
"192",1.57195,-0.0292585,"sub-1001",0,0
"193",1.08272,-0.022455,"sub-1001",0,0
"194",1.02883,-0.0189727,"sub-1001",0,0
"195",1.18218,-0.0130465,"sub-1001",0,0
"196",0.314404,-0.00287503,"sub-1001",0,0
"197",1.2861,-0.0254535,"sub-1001",0,0
"198",1.0649,-0.0228847,"sub-1001",0,0
"199",1.35745,-0.0105189,"sub-1001",0,0
"200",1.77808,-0.0249776,"sub-1001",0,0
"201",1.65778,-0.0125519,"sub-1001",0,0
"202",1.20847,-0.010272,"sub-1001",0,0
"203",0.856087,-0.0140603,"sub-1001",0,0
"204",1.11381,-0.00705125,"sub-1001",0,0
"205",0.911461,-0.024117,"sub-1001",0,0
"206",0.498887,-0.0202909,"sub-1001",0,0
"207",0.905564,-0.0159664,"sub-1001",0,0
"208",0.553373,-0.0148449,"sub-1001",0,0
"209",0.663555,-0.0141948,"sub-1001",0,0
"210",0.873582,-0.0102599,"sub-1001",0,0
"211",1.54331,-0.01573,"sub-1001",0,0
"212",1.36857,-0.0454621,"sub-1001",0,0
"213",1.04963,-0.0583851,"sub-1001",0,0
"214",0.961285,-0.0574286,"sub-1001",0,0
"215",0.544095,-0.00257638,"sub-1001",0,0
"216",0.732093,-0.027453,"sub-1001",0,0
"217",1.53622,-0.0207225,"sub-1001",0,0
"218",0.886542,-0.030828,"sub-1001",0,0
"219",0.596708,0.000705124,"sub-1001",0,0
"220",1.08067,-0.0231179,"sub-1001",0,0
"221",1.02136,-0.023115,"sub-1001",0,0
"222",0.778119,-0.0242377,"sub-1001",0,0
"223",1.00074,-0.0221354,"sub-1001",0,0
"224",0.63439,-0.0115931,"sub-1001",0,0
"225",0.893145,-0.0348229,"sub-1001",0,0
"226",1.67476,-0.0276469,"sub-1001",0,0
"227",1.17018,-0.00829599,"sub-1001",0,0
"228",1.01576,-0.0209005,"sub-1001",0,0
"229",1.15657,0.000783166,"sub-1001",0,0
"230",0.766324,-0.00657269,"sub-1001",0,0
"231",0.652683,-0.0194914,"sub-1001",0,0
"232",2.04695,-0.0127216,"sub-1001",0,0
"233",0.646715,-0.0146295,"sub-1001",0,0
"234",1.03277,-0.00694597,"sub-1001",0,0
"235",0.564744,-0.0314603,"sub-1001",0,0
"236",1.27264,-0.0219335,"sub-1001",0,0
"237",0.49315,-0.0248701,"sub-1001",0,0
"238",2.04887,-0.0267937,"sub-1001",0,0
"239",2.30565,-0.013368,"sub-1001",0,0
"240",2.38989,-0.00445617,"sub-1001",0,0
"241",1.17365,-0.0126253,"sub-1001",0,0
"242",2.59265,-0.00415996,"sub-1001",0,0
"243",0.511344,-0.0109712,"sub-1001",0,0
"244",1.11356,0.0136777,"sub-1001",0,0
"245",1.6018,0.0022416,"sub-1001",0,0
"246",0.513205,-0.0579071,"sub-1001",0,0
"247",0.803381,-0.0411426,"sub-1001",0,0
"248",0.884684,-0.0106481,"sub-1001",0,0
"249",0.632709,-0.0278563,"sub-1001",0,0
"250",1.49883,-0.0467885,"sub-1001",0,0
"251",1.24041,-0.0527413,"sub-1001",0,0
"252",1.96323,-0.0709719,"sub-1001",0,0
"253",1.48496,-0.0550688,"sub-1001",0,0
"254",1.61713,-0.0678494,"sub-1001",0,0
"255",1.4989,-0.00886849,"sub-1001",0,0
"256",1.55959,-0.0116158,"sub-1001",0,0
"257",1.33791,-0.0166922,"sub-1001",0,0
"258",1.79148,-0.0196841,"sub-1001",0,0
"259",0.612339,-0.0498493,"sub-1001",0,0
"260",1.59081,-0.0248648,"sub-1001",0,0
"261",1.88711,-0.0171797,"sub-1001",0,0
"262",1.46911,0.00405996,"sub-1001",0,0
"263",0.693365,0.00058797,"sub-1001",0,0
"264",1.17274,-0.0404696,"sub-1001",0,0
"265",1.30568,-0.0301451,"sub-1001",0,0
"266",1.20362,-0.0359102,"sub-1001",0,0
"267",1.00689,-0.0100559,"sub-1001",0,0
"268",1.96021,-0.00983961,"sub-1001",0,0
