"subject","group","age","gender","even_sub","language","trial","temp_cond","condition","tmax_temp","tmin_temp","TC","tempResp","PHS","tempRT","vasRating","catch","duration"
"sub-1003",1,21,"F",FALSE,1,24,2,3,39.2,22.1,34.2,1,0,1.8446286,0,0,1e-04
"sub-1003",1,21,"F",FALSE,1,25,2,4,39.2,25.2,28,1,0,0.521819,14.5833333333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,26,2,4,39.2,22.8,32.8,1,0,0.6256719,0,0,1.5
"sub-1003",1,21,"F",FALSE,1,27,2,4,39.2,17.9,42.6,1,0,1.3182645,0,0,1.5
"sub-1003",1,21,"F",FALSE,1,28,2,4,39.2,31.8,14.8,0,1,0.5777571,100,1,1.5
"sub-1003",1,21,"F",FALSE,1,29,2,4,39.2,25.4,27.6,1,0,0.8686364,34.8958333333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,30,2,4,39.2,27,24.4,1,0,0.3717439,42.0572916666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,31,2,4,39.2,26.8,24.8,1,0,0.8731575,41.9270833333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,32,2,4,39.2,21.4,35.6,1,0,0.6885898,22.265625,0,1.5
"sub-1003",1,21,"F",FALSE,1,33,3,5,45.6,28.3,34.6,1,0,0.7631457,56.9010416666667,0,1e-04
"sub-1003",1,21,"F",FALSE,1,34,3,5,45.6,16.2,58.8,1,0,1.6430859,0,0,1e-04
"sub-1003",1,21,"F",FALSE,1,35,3,5,45.6,31.7,27.8,0,1,1.2732403,97.1354166666667,1,1e-04
"sub-1003",1,21,"F",FALSE,1,36,3,5,45.6,14.3,62.6,1,0,0.3495615,23.4375,0,1e-04
"sub-1003",1,21,"F",FALSE,1,37,3,5,45.6,11.7,67.8,1,0,0.4135713,6.77083333333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,38,3,5,45.6,13.2,64.8,1,0,0.3804038,19.6614583333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,39,3,5,45.6,25.8,39.6,1,0,0.6146783,30.859375,0,1e-04
"sub-1003",1,21,"F",FALSE,1,40,3,5,45.6,24.5,42.2,1,0,0.3997777,41.015625,0,1e-04
"sub-1003",1,21,"F",FALSE,1,41,3,6,45.6,19,53.2,1,0,0.6037752,8.46354166666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,42,3,6,45.6,12.3,66.6,0,1,0.7005967,66.6666666666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,43,3,6,45.6,15.5,60.2,1,0,0.3996553,38.1510416666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,44,3,6,45.6,20.1,51,1,0,0.4257272,0.78125,0,1.5
"sub-1003",1,21,"F",FALSE,1,45,3,6,45.6,31.8,27.6,0,1,0.5737464,74.21875,1,1.5
"sub-1003",1,21,"F",FALSE,1,46,3,6,45.6,20.1,51,1,0,0.397473,42.0572916666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,47,3,6,45.6,22.9,45.4,1,0,0.3844009,54.8177083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,48,3,6,45.6,16.3,58.6,1,0,0.3072733,14.84375,0,1.5
"sub-1003",1,21,"F",FALSE,1,49,4,7,47.8,14.9,65.8,1,0,2.225161,0,0,1e-04
"sub-1003",1,21,"F",FALSE,1,50,4,7,47.8,19.4,56.8,1,0,0.4419586,23.828125,0,1e-04
"sub-1003",1,21,"F",FALSE,1,51,4,7,47.8,31.8,32,0,1,0.7212351,79.8177083333333,1,1e-04
"sub-1003",1,21,"F",FALSE,1,52,4,7,47.8,19,57.6,1,0,0.3707305,31.7708333333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,53,4,7,47.8,20.7,54.2,1,0,0.4343242,55.078125,0,1e-04
"sub-1003",1,21,"F",FALSE,1,54,4,7,47.8,21.8,52,1,0,0.4453413,59.5052083333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,55,4,7,47.8,24.6,46.4,1,0,0.3580773,60.15625,0,1e-04
"sub-1003",1,21,"F",FALSE,1,56,4,7,47.8,6.3,83,1,0,0.6837409,0,0,1e-04
"sub-1003",1,21,"F",FALSE,1,57,4,8,47.8,31.8,32,0,1,0.3927525,60.9375,1,1.5
"sub-1003",1,21,"F",FALSE,1,58,4,8,47.8,17,61.6,1,0,0.336473,44.7916666666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,59,4,8,47.8,24.4,46.8,1,0,0.2994314,50.1302083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,60,4,8,47.8,24.4,46.8,1,0,0.3381528,50.1302083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,61,4,8,47.8,20.6,54.4,1,0,0.390729,53.3854166666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,62,4,8,47.8,6.7,82.2,1,0,0.3964614,6.38020833333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,63,4,8,47.8,12.7,70.2,1,0,0.55984,7.55208333333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,64,4,8,47.8,10.9,73.8,1,0,0.3438173,27.9947916666667,0,1.5
"sub-1004",1,29,"M",TRUE,2,1,1,1,35.6,27.5,16.2,1,0,0.5799931,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,2,1,1,35.6,27.9,15.4,1,0,0.4304974,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,3,1,1,35.6,27,17.2,1,0,0.6056252,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,4,1,1,35.6,27.3,16.6,1,0,0.3491572,98.9583333333333,0,1e-04
"sub-1004",1,29,"M",TRUE,2,5,1,1,35.6,27,17.2,1,0,0.412901,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,6,1,1,35.6,25.6,20,1,0,0.3460075,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,7,1,1,35.6,31.8,7.6,0,1,0.3955068,100,1,1e-04
"sub-1004",1,29,"M",TRUE,2,8,1,1,35.6,26.5,18.2,1,0,0.3559764,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,9,1,2,35.6,25.6,20,1,0,0.3358813,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,10,1,2,35.6,24.5,22.2,1,0,0.3441143,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,11,1,2,35.6,25.3,20.6,1,0,0.27547,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,12,1,2,35.6,31.8,7.6,0,1,0.6810235,94.7916666666667,1,1.5
"sub-1004",1,29,"M",TRUE,2,13,1,2,35.6,25.2,20.8,1,0,0.3312089,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,14,1,2,35.6,26.5,18.2,1,0,0.2984938,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,15,1,2,35.6,26.9,17.4,1,0,0.3852862,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,16,1,2,35.6,26.6,18,1,0,0.3491705,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,17,2,3,38,27.3,21.4,1,0,0.2878541,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,18,2,3,38,31.8,12.4,0,1,0.3047407,100,1,1e-04
"sub-1004",1,29,"M",TRUE,2,19,2,3,38,27.8,20.4,1,0,0.2805286,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,20,2,3,38,28.2,19.6,1,0,0.2741773,99.8697916666667,0,1e-04
"sub-1004",1,29,"M",TRUE,2,21,2,3,38,25.6,24.8,1,0,0.3052162,99.7395833333333,0,1e-04
"sub-1004",1,29,"M",TRUE,2,22,2,3,38,26.8,22.4,1,0,0.4102866,86.1979166666667,0,1e-04
"sub-1004",1,29,"M",TRUE,2,23,2,3,38,26.6,22.8,1,0,0.2650177,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,24,2,3,38,26.9,22.2,1,0,0.2805137,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,25,2,4,38,28.2,19.6,1,0,0.2856241,99.8697916666667,0,1.5
"sub-1004",1,29,"M",TRUE,2,26,2,4,38,27.1,21.8,1,0,0.2853237,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,27,2,4,38,26.4,23.2,1,0,0.2754865,96.6145833333333,0,1.5
"sub-1004",1,29,"M",TRUE,2,29,2,4,38,27.1,21.8,1,0,0.280577,97.1354166666667,0,1.5
"sub-1004",1,29,"M",TRUE,2,30,2,4,38,25.9,24.2,1,0,0.2825274,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,31,2,4,38,31.8,12.4,0,1,0.5278859,100,1,1.5
"sub-1004",1,29,"M",TRUE,2,32,2,4,38,27,22,1,0,0.2561096,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,33,3,5,44.5,27.6,33.8,1,0,0.2736355,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,34,3,5,44.5,27.6,33.8,1,0,0.291478,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,35,3,5,44.5,31.9,25.2,0,1,0.3301734,100,1,1e-04
"sub-1004",1,29,"M",TRUE,2,36,3,5,44.5,27.2,34.6,1,0,0.2753061,99.0885416666667,0,1e-04
"sub-1004",1,29,"M",TRUE,2,37,3,5,44.5,26.3,36.4,1,0,0.2760842,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,38,3,5,44.5,28,33,1,0,0.3133789,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,39,3,5,44.5,27.7,33.6,1,0,0.2912059,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,41,3,6,44.5,26.6,35.8,1,0,0.2677388,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,42,3,6,44.5,28.1,32.8,1,0,0.2968434,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,43,3,6,44.5,27.2,34.6,1,0,0.2522397,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,46,3,6,44.5,31.9,25.2,0,1,0.2993008,100,1,1.5
"sub-1004",1,29,"M",TRUE,2,47,3,6,44.5,27.9,33.2,1,0,0.2608047,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,49,4,7,47.5,27.3,40.4,1,0,0.2687563,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,52,4,7,47.5,27.2,40.6,1,0,0.2888873,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,53,4,7,47.5,31.8,31.4,0,1,0.4107348,100,1,1e-04
"sub-1004",1,29,"M",TRUE,2,54,4,7,47.5,27.2,40.6,1,0,0.3151914,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,55,4,7,47.5,27.9,39.2,1,0,0.3298854,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,56,4,7,47.5,27.3,40.4,1,0,0.3034801,100,0,1e-04
"sub-1004",1,29,"M",TRUE,2,59,4,8,47.5,26.7,41.6,1,0,0.2520789,99.609375,0,1.5
"sub-1004",1,29,"M",TRUE,2,61,4,8,47.5,26.9,41.2,1,0,0.362729,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,62,4,8,47.5,26.4,42.2,1,0,0.2622794,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,63,4,8,47.5,25.6,43.8,1,0,0.2959155,100,0,1.5
"sub-1004",1,29,"M",TRUE,2,64,4,8,47.5,31.8,31.4,0,1,0.6033233,100,1,1.5
"sub-1005",1,22,"F",FALSE,2,1,1,1,33,28.8,8.4,1,0,0.4413316,82.5520833333333,0,1e-04
"sub-1005",1,22,"F",FALSE,2,2,1,1,33,28.9,8.2,1,0,0.433627,78.515625,0,1e-04
"sub-1005",1,22,"F",FALSE,2,3,1,1,33,28.6,8.8,1,0,0.8006662,43.359375,0,1e-04
"sub-1005",1,22,"F",FALSE,2,4,1,1,33,28.4,9.2,1,0,0.3481399,90.4947916666667,0,1e-04
"sub-1005",1,22,"F",FALSE,2,5,1,1,33,29.2,7.6,1,0,0.3573935,75.1302083333333,0,1e-04
"sub-1005",1,22,"F",FALSE,2,6,1,1,33,27.8,10.4,1,0,0.6513227,65.625,0,1e-04
"sub-1005",1,22,"F",FALSE,2,7,1,1,33,31.8,2.4,0,1,0.6960557,100,1,1e-04
"sub-1005",1,22,"F",FALSE,2,8,1,1,33,28.3,9.4,1,0,0.3509865,100,0,1e-04
