hpt_levels	hpt_fit
31.4626	0.05
31.4697	0.05
31.4768	0.05
31.4839	0.05
31.491	0.05
31.4981	0.05
31.5052	0.05
31.5123	0.05
31.5194	0.05
31.5265	0.05
31.5336	0.05
31.5407	0.05
31.5478	0.05
31.5549	0.05
31.562	0.05
31.5691	0.05
31.5762	0.05
31.5833	0.05
31.5904	0.05
31.5975	0.05
31.6046	0.05
31.6117	0.05
31.6188	0.05
31.6259	0.05
31.633	0.05
31.6401	0.05
31.6472	0.05
31.6543	0.05
31.6614	0.05
31.6685	0.05
31.6756	0.05
31.6827	0.05
31.6898	0.05
31.6969	0.05
31.704	0.05
31.7111	0.05
31.7182	0.05
31.7253	0.05
31.7324	0.05
31.7395	0.05
31.7466	0.05
31.7537	0.05
31.7608	0.05
31.7679	0.05
31.775	0.05
31.7821	0.05
31.7892	0.05
31.7963	0.05
31.8034	0.05
31.8105	0.05
31.8176	0.05
31.8247	0.05
31.8318	0.05
31.8389	0.05
31.846	0.05
31.8531	0.05
31.8602	0.05
31.8673	0.05
31.8744	0.05
31.8815	0.05
31.8886	0.05
31.8957	0.05
31.9028	0.05
31.9099	0.05
31.917	0.05
31.9241	0.05
31.9312	0.05
31.9383	0.05
31.9454	0.05
31.9525	0.05
31.9596	0.05
31.9667	0.05
31.9738	0.05
31.9809	0.05
31.988	0.05
31.9951	0.05
32.0022	0.05
32.0093	0.05
32.0164	0.05
32.0235	0.05
32.0306	0.05
32.0377	0.05
32.0448	0.05
32.0519	0.05
32.059	0.05
32.0661	0.05
32.0732	0.05
32.0803	0.05
32.0874	0.05
32.0945	0.05
32.1016	0.05
32.1087	0.05
32.1158	0.05
32.1229	0.05
32.13	0.05
32.1371	0.05
32.1442	0.05
32.1513	0.05
32.1584	0.05
32.1655	0.05
32.1726	0.05
32.1797	0.05
32.1868	0.05
32.1939	0.05
32.201	0.05
32.2081	0.05
32.2152	0.05
32.2223	0.05
32.2294	0.05
32.2365	0.05
32.2436	0.05
32.2507	0.05
32.2578	0.05
32.2649	0.05
32.272	0.05
32.2791	0.05
32.2862	0.05
