wdt_levels	wdt_fit
31.1774	0.0514109634815805
31.1832	0.0514549013196699
31.189	0.0515000824344468
31.1948	0.0515465378344141
31.2006	0.0515942991705747
31.2064	0.051643398745877
31.2122	0.0516938695246888
31.218	0.0517457451422959
31.2238	0.0517990599144213
31.2296	0.0518538488467618
31.2354	0.0519101476445382
31.2412	0.0519679927220541
31.247	0.0520274212122608
31.2528	0.0520884709763229
31.2586	0.0521511806131802
31.2644	0.0522155894691031
31.2702	0.052281737647234
31.276	0.0523496660171137
31.2818	0.0524194162241844
31.2876	0.0524910306992668
31.2934	0.052564552668006
31.2992	0.0526400261602793
31.305	0.0527174960195635
31.3108	0.0527970079122532
31.3166	0.0528786083369275
31.3224	0.052962344633557
31.3282	0.0530482649926474
31.334	0.0531364184643126
31.3398	0.0532268549672714
